community_id,method,step_index,step_order,target_window_label,n_users,F,L,Q,baseline_window,baseline_F,baseline_L,baseline_Q,aggregate
6,clasp_online,4,4,W5,100,0.4527774907,0.1850538647,0.3456880403,W1,0.463620671,0.1751094441,0.3482161802,mean
7,static_s0,0,0,W1,100,0.3776726469,0.2592807853,0.3303159023,W1,0.3776726469,0.2592807853,0.3303159023,mean
7,static_s0,1,1,W2,100,0.2872367281,0.2723515796,0.2812826687,W1,0.3776726469,0.2592807853,0.3303159023,mean
7,static_s0,2,2,W3,100,0.2379093394,0.2206174663,0.2309925901,W1,0.3776726469,0.2592807853,0.3303159023,mean
7,static_s0,3,3,W4,100,0.3282457322,0.2495745488,0.2967772589,W1,0.3776726469,0.2592807853,0.3303159023,mean
7,static_s0,4,4,W5,100,0.3352094397,0.2543858315,0.3028799964,W1,0.3776726469,0.2592807853,0.3303159023,mean
7,prefix_refresh,0,0,W1,100,0.3594501635,0.2598899171,0.3196260649,W1,0.3594501635,0.2598899171,0.3196260649,mean
7,prefix_refresh,1,1,W2,100,0.2940085315,0.2726290928,0.285456756,W1,0.3594501635,0.2598899171,0.3196260649,mean
7,prefix_refresh,2,2,W3,100,0.2298677865,0.220374274,0.2260703815,W1,0.3594501635,0.2598899171,0.3196260649,mean
7,prefix_refresh,3,3,W4,100,0.3200544472,0.2406798307,0.2883046006,W1,0.3594501635,0.2598899171,0.3196260649,mean
7,prefix_refresh,4,4,W5,100,0.3241548519,0.2519640896,0.295278547,W1,0.3594501635,0.2598899171,0.3196260649,mean
7,history_only,0,0,W1,100,0.3877406458,0.2826168295,0.3456911193,W1,0.3877406458,0.2826168295,0.3456911193,mean
7,history_only,1,1,W2,100,0.3898026021,0.2917243557,0.3505713036,W1,0.3877406458,0.2826168295,0.3456911193,mean
7,history_only,2,2,W3,100,0.2697488964,0.2445019389,0.2596501134,W1,0.3877406458,0.2826168295,0.3456911193,mean
7,history_only,3,3,W4,100,0.285171817,0.2684580341,0.2784863038,W1,0.3877406458,0.2826168295,0.3456911193,mean
7,history_only,4,4,W5,100,0.3669212969,0.2951034514,0.3381941587,W1,0.3877406458,0.2826168295,0.3456911193,mean
